codigo,denominacao,atestado_bombeiros,licenca_ambiental,orgão_regulador,defesa_civil,laudo_acustico,outros_docs
01.53-9-02,"Criação de ovinos, inclusive para produção de lã",M - Especial,Licenciamento Ambiental*,-,-,-,-
01.54-7-00,Criação de suínos,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.55-5-01,Criação de frangos para corte,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.55-5-02,Produção de pintos de um dia,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.55-5-03,"Criação de outros galináceos, exceto para corte",M - Especial,Licenciamento Ambiental*,-,-,-,-
01.55-5-04,"Criação de aves, exceto galináceos",M - Especial,Licenciamento Ambiental*,-,-,-,-
01.55-5-05,Produção de ovos,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.59-8-01,Apicultura,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.59-8-02,Criação de animais de estimação,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.59-8-03,Criação de escargô,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.59-8-04,Criação de bicho-da-seda,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.59-8-99,Criação de outros animais não especificados anteriormente,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.61-0-01,Serviço de pulverização e controle de pragas agrícolas,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.63-6-00,Atividades de pós-colheita,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.70-9-00,Caça e serviços relacionados,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.61-0-02,Serviço de poda de árvores para lavouras,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.61-0-03,"Serviço de preparação de terreno, cultivo e colheita",M - Especial,Licenciamento Ambiental*,-,-,-,-
01.61-0-99,Atividades de apoio à agricultura não especificadas anteriormente,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.62-8-01,Serviço de inseminação artificial em animais,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.62-8-02,Serviço de tosquiamento de ovinos,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.62-8-03,Serviço de manejo de animais,M - Especial,Licenciamento Ambiental*,-,-,-,-
01.62-8-99,Atividades de apoio à pecuária não especificadas anteriormente,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.10-1-01,Cultivo de eucalipto,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.10-1-02,Cultivo de acácia-negra,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.10-1-03,Cultivo de pinus,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.10-1-04,Cultivo de teca,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.10-1-05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",M - Especial,Licenciamento Ambiental*,-,-,-,-
02.10-1-06,Cultivo de mudas em viveiros florestais,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.10-1-07,Extração de madeira em florestas plantadas,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.10-1-08,Produção de carvão vegetal - florestas plantadas,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.10-1-09,Produção de casca de acácia-negra - florestas plantadas,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.10-1-99,Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.20-9-01,Extração de madeira em florestas nativas,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.20-9-02,Produção de carvão vegetal - florestas nativas,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.20-9-03,Coleta de castanha-do-pará em florestas nativas,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.20-9-04,Coleta de látex em florestas nativas,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.20-9-05,Coleta de palmito em florestas nativas,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.20-9-06,Conservação de florestas nativas,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.20-9-99,Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,M - Especial,Licenciamento Ambiental*,-,-,-,-
02.30-6-00,Atividades de apoio à produção florestal,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.11-6-01,Pesca de peixes em água salgada,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.11-6-02,Pesca de crustáceos e moluscos em água salgada,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.11-6-03,Coleta de outros produtos marinhos,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.11-6-04,Atividades de apoio à pesca em água salgada,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.12-4-01,Pesca de peixes em água doce,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.12-4-02,Pesca de crustáceos e moluscos em água doce,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.12-4-03,Coleta de outros produtos aquáticos de água doce,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.21-3-01,Criação de peixes em água salgada e salobra,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.21-3-02,Criação de camarões em água salgada e salobra,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.21-3-03,Criação de ostras e mexilhões em água salgada e salobra,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.21-3-04,Criação de peixes ornamentais em água salgada e salobra,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.21-3-99,Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.22-1-01,Criação de peixes em água doce,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.22-1-02,Criação de camarões em água doce,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.22-1-03,Criação de ostras e mexilhões em água doce,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.22-1-04,Criação de peixes ornamentais em água doce,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.22-1-05,Ranicultura,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.22-1-06,Criação de jacaré,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.22-1-99,Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.12-4-04,Atividades de apoio à pesca em água doce,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.21-3-05,Atividades de apoio à aquicultura em água salgada e salobra,M - Especial,Licenciamento Ambiental*,-,-,-,-
03.22-1-07,Atividades de apoio à aquicultura em água doce,M - Especial,Licenciamento Ambiental*,-,-,-,-
05.00-3-01,Extração de carvão mineral,M - Especial,Licenciamento Ambiental*,-,-,-,-
05.00-3-02,Beneficiamento de carvão mineral,M - Especial,Licenciamento Ambiental*,-,-,-,-
06.00-0-01,Extração de petróleo e gás natural,M - Especial,Licenciamento Ambiental*,-,-,-,-
06.00-0-02,Extração e beneficiamento de xisto,M - Especial,Licenciamento Ambiental*,-,-,-,-
06.00-0-03,Extração e beneficiamento de areias betuminosas,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.10-3-01,Extração de minério de ferro,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.10-3-02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",M - Especial,Licenciamento Ambiental*,-,-,-,-
07.21-9-01,Extração de minério de alumínio,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.21-9-02,Beneficiamento de minério de alumínio,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.22-7-01,Extração de minério de estanho,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.22-7-02,Beneficiamento de minério de estanho,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.23-5-01,Extração de minério de manganês,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.23-5-02,Beneficiamento de minério de manganês,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.24-3-01,Extração de minério de metais preciosos,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.24-3-02,Beneficiamento de minério de metais preciosos,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.25-1-00,Extração de minerais radioativos,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.29-4-01,Extração de minérios de nióbio e titânio,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.29-4-02,Extração de minério de tungstênio,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.29-4-03,Extração de minério de níquel,M - Especial,Licenciamento Ambiental*,-,-,-,-
07.29-4-04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",M - Especial,Licenciamento Ambiental*,-,-,-,-
07.29-4-05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",M - Especial,Licenciamento Ambiental*,-,-,-,-
08.10-0-01,Extração de ardósia e beneficiamento associado,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.10-0-02,Extração de granito e beneficiamento associado,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.10-0-03,Extração de mármore e beneficiamento associado,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.10-0-04,Extração de calcário e dolomita e beneficiamento associado,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.10-0-05,Extração de gesso e caulim,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.10-0-06,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",M - Especial,Licenciamento Ambiental*,-,-,-,-
08.10-0-07,Extração de argila e beneficiamento associado,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.10-0-08,Extração de saibro e beneficiamento associado,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.10-0-09,Extração de bas e beneficiamento associado,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.10-0-10,Beneficiamento de gesso e caulim associado à extração,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.10-0-99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.91-6-00,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",M - Especial,Licenciamento Ambiental*,-,-,-,-
08.92-4-01,Extração de sal marinho,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.92-4-02,Extração de sal-gema,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.92-4-03,Refino e outros tratamentos do sal,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.93-2-00,Extração de gemas (pedras preciosas e semipreciosas),M - Especial,Licenciamento Ambiental*,-,-,-,-
08.99-1-01,Extração de grafita,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.99-1-02,Extração de quartzo,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.99-1-03,Extração de amianto,M - Especial,Licenciamento Ambiental*,-,-,-,-
08.99-1-99,Extração de outros minerais não metálicos não especificados anteriormente,M - Especial,Licenciamento Ambiental*,-,-,-,-
09.10-6-00,Atividades de apoio à extração de petróleo e gás natural,M - Especial,Licenciamento Ambiental*,-,-,-,-
09.90-4-01,Atividades de apoio à extração de minério de ferro,M - Especial,Licenciamento Ambiental*,-,-,-,-
09.90-4-02,Atividades de apoio à extração de minerais metálicos não ferrosos,M - Especial,Licenciamento Ambiental*,-,-,-,-
09.90-4-03,Atividades de apoio à extração de minerais não metálicos,M - Especial,Licenciamento Ambiental*,-,-,-,-
10.11-2-01,Frigorífico - abate de bovinos,M - Especial,Licenciamento Ambiental*,-,-,-,-
10.11-2-02,Frigorífico - abate de equinos,M - Especial,Licenciamento Ambiental*,-,-,-,-
10.11-2-03,Frigorífico - abate de ovinos e caprinos,M - Especial,Licenciamento Ambiental*,-,-,-,-
10.11-2-04,Frigorífico - abate de bufalinos,M - Especial,Licenciamento Ambiental*,-,-,-,-
10.11-2-05,"Matadouro - abate de reses sob contrato, exceto abate de suínos",M - Especial,Licenciamento Ambiental*,-,-,-,-
10.12-1-01,Abate de aves,M - Especial,Licenciamento Ambiental*,-,-,-,-
10.12-1-02,Abate de pequenos animais,M - Especial,Licenciamento Ambiental*,-,-,-,-
10.12-1-03,Frigorífico - abate de suínos,M - Especial,Licenciamento Ambiental*,-,-,-,-
10.12-1-04,Matadouro - abate de suínos sob contrato,M - Especial,Licenciamento Ambiental*,-,-,-,-
10.99-6-04,Fabricação de gelo comum,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.13-9-01,Fabricação de produtos de carne,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.20-1-01,"Preservação de peixes, crustáceos e moluscos",I - Indústria,Licenciamento Ambiental,-,-,-,-
10.20-1-02,"Fabricação de conservas de peixes, crustáceos e moluscos",I - Indústria,Licenciamento Ambiental,-,-,-,-
10.31-7-00,Fabricação de conservas de frutas,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.32-5-01,Fabricação de conservas de palmito,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.32-5-99,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",I - Indústria,Licenciamento Ambiental,-,-,-,-
10.33-3-01,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",I - Indústria,Licenciamento Ambiental,-,-,-,-
10.33-3-02,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",I - Indústria,Licenciamento Ambiental,-,-,-,-
10.41-4-00,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",I - Indústria,Licenciamento Ambiental,-,-,-,-
10.42-2-00,"Fabricação de óleos vegetais refinados, exceto óleo de milho",I - Indústria,Licenciamento Ambiental,-,-,-,-
10.43-1-00,Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.52-0-00,Fabricação de laticínios,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.53-8-00,Fabricação de sorvetes e outros gelados comestíveis,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.61-9-02,Fabricação de produtos do arroz,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.63-5-00,Fabricação de farinha de mandioca e derivados,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.64-3-00,"Fabricação de farinha de milho e derivados, exceto óleos de milho",I - Indústria,Licenciamento Ambiental,-,-,-,-
10.65-1-01,Fabricação de amidos e féculas de vegetais,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.65-1-02,Fabricação de óleo de milho em bruto,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.65-1-03,Fabricação de óleo de milho refinado,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.66-0-00,Fabricação de alimentos para animais,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.71-6-00,Fabricação de açúcar em bruto,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.72-4-01,Fabricação de açúcar de cana refinado,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.72-4-02,Fabricação de açúcar de cereais (dextrose) e de beterraba,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.82-1-00,Fabricação de produtos à base de café,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.91-1-01,Fabricação de produtos de panificação industrial,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.92-9-00,Fabricação de biscoitos e bolachas,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.93-7-01,Fabricação de produtos derivados do cacau e de chocolates,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.93-7-02,"Fabricação de frutas cristalizadas, balas e semelhantes",I - Indústria,Licenciamento Ambiental,-,-,-,-
10.94-5-00,Fabricação de massas alimentícias,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.95-3-00,"Fabricação de especiarias, molhos, temperos e condimentos",I - Indústria,Licenciamento Ambiental,-,-,-,-
10.96-1-00,Fabricação de alimentos e pratos prontos,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.99-6-01,Fabricação de vinagres,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.99-6-02,Fabricação de pós-alimentícios,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.99-6-03,Fabricação de fermentos e leveduras,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.99-6-05,"Fabricação de produtos para infusão (chá, mate, etc.)",I - Indústria,Licenciamento Ambiental,-,-,-,-
10.99-6-06,Fabricação de adoçantes naturais e artificiais,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.99-6-07,Fabricação de alimentos dietéticos e complementos alimentares,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.99-6-99,Fabricação de outros produtos alimentícios não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.13-9-02,Preparação de subprodutos do abate,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.51-1-00,Preparação do leite,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.61-9-01,Beneficiamento de arroz,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.62-7-00,Moagem de trigo e fabricação de derivados,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.69-4-00,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.81-3-01,Beneficiamento de café,I - Indústria,Licenciamento Ambiental,-,-,-,-
10.81-3-02,Torrefação e moagem de café,I - Indústria,Licenciamento Ambiental,-,-,-,-
11.11-9-01,Fabricação de aguardente de cana-de-açúcar,I - Indústria,Licenciamento Ambiental,-,-,-,-
11.11-9-02,Fabricação de outras aguardentes e bebidas destiladas,I - Indústria,Licenciamento Ambiental,-,-,-,-
11.12-7-00,Fabricação de vinho,I - Indústria,Licenciamento Ambiental,-,-,-,-
11.13-5-01,"Fabricação de malte, inclusive malte uísque",I - Indústria,Licenciamento Ambiental,-,-,-,-
11.13-5-02,Fabricação de cervejas e chopes,I - Indústria,Licenciamento Ambiental,-,-,-,-
11.21-6-00,Fabricação de águas envasadas,I - Indústria,Licenciamento Ambiental,-,-,-,-
11.22-4-01,Fabricação de refrigerantes,I - Indústria,Licenciamento Ambiental,-,-,-,-
11.22-4-02,Fabricação de chá mate e outros chás prontos para consumo,I - Indústria,Licenciamento Ambiental,-,-,-,-
11.22-4-03,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",I - Indústria,Licenciamento Ambiental,-,-,-,-
11.22-4-04,Fabricação de bebidas isotônicas,I - Indústria,Licenciamento Ambiental,-,-,-,-
11.22-4-99,Fabricação de outras bebidas não alcoólicas não especificadas anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
12.10-7-00,Processamento industrial do fumo,I - Indústria,Licenciamento Ambiental,-,-,-,-
12.20-4-01,Fabricação de cigarros,I - Indústria,Licenciamento Ambiental,-,-,-,-
12.20-4-02,Fabricação de cigarrilhas e charutos,I - Indústria,Licenciamento Ambiental,-,-,-,-
12.20-4-03,Fabricação de filtros para cigarros,I - Indústria,Licenciamento Ambiental,-,-,-,-
12.20-4-99,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",I - Indústria,Licenciamento Ambiental,-,-,-,-
13.11-1-00,Preparação e fiação de fibras de algodão,I - Indústria,Licenciamento Ambiental,-,-,-,-
13.12-0-00,"Preparação e fiação de fibras têxteis naturais, exceto algodão",I - Indústria,Licenciamento Ambiental,-,-,-,-
13.40-5-01,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",I - Indústria,Licenciamento Ambiental,-,-,-,-
13.40-5-02,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",I - Indústria,Licenciamento Ambiental,-,-,-,-
13.13-8-00,Fiação de fibras artificiais e sintéticas,I - Indústria,Licenciamento Ambiental,-,-,-,-
13.21-9-00,Tecelagem de fios de algodão,I - Indústria,Licenciamento Ambiental,-,-,-,-
13.22-7-00,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",I - Indústria,Licenciamento Ambiental,-,-,-,-
13.23-5-00,Tecelagem de fios de fibras artificiais e sintéticas,I - Indústria,Licenciamento Ambiental,-,-,-,-
13.40-5-99,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",I - Indústria,Licenciamento Ambiental,-,-,-,-
13.14-6-00,Fabricação de linhas para costurar e bordar,I - Indústria,Licenciamento Ambiental,-,-,-,-
13.30-8-00,Fabricação de tecidos de malha,I - Indústria,Licenciamento Ambiental,-,-,-,-
13.51-1-00,Fabricação de artefatos têxteis para uso doméstico,I - Indústria,Licenciamento Ambiental,-,-,-,-
13.52-9-00,Fabricação de artefatos de tapeçaria,I - Indústria,Licenciamento Ambiental,-,-,-,-
13.53-7-00,Fabricação de artefatos de cordoaria,I - Indústria,Licenciamento Ambiental,-,-,-,-
13.54-5-00,"Fabricação de tecidos especiais, inclusive artefatos",I - Indústria,Licenciamento Ambiental,-,-,-,-
13.59-6-00,Fabricação de outros produtos têxteis não especificados anteriormente,I - Indústria,Licenciamento Ambiental,-,-,-,-
14.11-8-01,Confecção de roupas íntimas,C - Comercial,-,-,-,-,-
14.11-8-02,Facção de roupas íntimas,C - Comercial,-,-,-,-,-
14.12-6-01,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",C - Comercial,-,-,-,-,-
14.12-6-02,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",C - Comercial,-,-,-,-,-
14.12-6-03,"Facção de peças do vestuário, exceto roupas íntimas",C - Comercial,-,-,-,-,-
14.13-4-01,"Confecção de roupas profissionais, exceto sob medida",C - Comercial,-,-,-,-,-
14.13-4-02,"Confecção, sob medida, de roupas profissionais",C - Comercial,-,-,-,-,-
14.13-4-03,Facção de roupas profissionais,C - Comercial,-,-,-,-,-
14.14-2-00,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",I - Indústria,Licenciamento Ambiental,-,-,-,-
